noBidThreshold,minBid,bidRange,sigmoidDegree,won,click,spend,trimmed_bids,CTR,CPM,CPC,blended_score
0.2,100,50,-10,43352,129.0,2465004.0,0,0.002975641262225503,56860.21406163499,19108.558139534885,0.23633083930278984
0.2,100,50,-20,42886,130.0,2418454.0,0,0.003031292263209439,56392.622300984,18603.492307692308,0.23818241172156204
0.2,100,50,-30,42622,130.0,2392884.0,0,0.0030500680399793536,56141.992398291964,18406.8,0.238193677187624
0.2,100,50,-40,42508,130.0,2382198.0,0,0.0030582478592264986,56041.16872118189,18324.6,0.2381985850791723
0.2,100,50,-50,42453,130.0,2377314.0,0,0.0030622099733823285,55998.72800508798,18287.03076923077,0.23820096234766577
0.2,100,100,-10,46140,149.0,2865259.0,0,0.0032293021239705247,62099.2414390984,19229.926174496642,0.27284667218347325
0.2,100,100,-20,45247,149.0,2781683.0,0,0.0032930360023868985,61477.733330386545,18669.013422818793,0.27288491251052305
0.2,100,100,-30,44837,151.0,2745482.0,0,0.0033677543100564264,61232.50886544595,18182.0,0.27656610713148844
0.2,100,100,-40,44644,151.0,2728522.0,0,0.003382313412776633,61117.32819639817,18069.6821192053,0.2765748425931206
0.2,100,100,-50,44539,151.0,2719702.0,0,0.0033902871640584657,61063.38265340488,18011.27152317881,0.27657962684388965
0.2,100,150,-10,48839,162.0,3325411.0,0,0.0033170212330309794,68089.25244169618,20527.228395061727,0.29653566728527314
0.2,100,150,-20,47385,160.0,3184000.0,0,0.003376595969188562,67194.25978685239,19900.0,0.2929350484906041
0.2,100,150,-30,46786,160.0,3129411.0,0,0.003419826443807977,66887.76557089727,19558.81875,0.29296098677537574
0.2,100,150,-40,46536,160.0,3108907.0,0,0.0034381983840467596,66806.49389719787,19430.66875,0.292972009939519
0.2,100,150,-50,46401,160.0,3098995.0,0,0.0034482015473804445,66787.24596452662,19368.71875,0.2929780118375192
0.2,100,200,-10,50846,166.0,3687036.0,0,0.0032647602564606854,72513.78672855289,22211.060240963856,0.30377703797205824
0.2,100,200,-20,48607,165.0,3415018.0,0,0.0033945727981566443,70257.74065463823,20697.07878787879,0.30203674367889405
0.2,100,200,-30,47702,163.0,3313720.0,0,0.0034170475032493396,69467.10829734603,20329.57055214724,0.29841386486558596
0.2,100,200,-40,47295,163.0,3271645.0,0,0.003446453113436938,69175.28279945026,20071.44171779141,0.29843150823169856
0.2,100,200,-50,47087,163.0,3250995.0,0,0.003461677320704228,69042.30467007878,19944.754601226992,0.2984406427560589
0.2,100,250,-10,52247,166.0,3941709.0,0,0.0031772159167033514,75443.73839646296,23745.234939759037,0.30372451136820383
0.2,100,250,-20,49400,165.0,3554949.0,0,0.0033400809716599192,71962.53036437248,21545.145454545454,0.302004048582996
0.2,100,250,-30,48243,163.0,3412586.0,0,0.0033787285201998217,70737.43341002839,20936.110429447854,0.29839087347575627
0.2,100,250,-40,47649,163.0,3340652.0,0,0.003420848286427837,70109.59306596151,20494.79754601227,0.2984161453354931
0.2,100,250,-50,47369,163.0,3307361.0,0,0.003441069053600456,69821.2121851844,20290.55828220859,0.29842827779579667
0.2,150,50,-10,50391,153.0,3485572.0,0,0.0030362564743704233,69170.52648290369,22781.516339869282,0.28000357206644044
0.2,150,50,-20,49896,155.0,3411004.0,0,0.003106461439794773,68362.27352894019,22006.47741935484,0.2836820586820587
0.2,150,50,-30,49710,155.0,3383812.0,0,0.0031180848923757793,68071.05210219271,21831.045161290323,0.28368903275360735
0.2,150,50,-40,49625,155.0,3371346.0,0,0.003123425692695214,67936.44332493703,21750.61935483871,0.283692237233799
0.2,150,50,-50,49574,155.0,3364042.0,0,0.0031266389639730504,67858.99866865696,21703.496774193547,0.2836941651965657
0.2,150,100,-10,53014,164.0,3986651.0,0,0.0030935224657637605,75199.96604670463,24308.84756097561,0.30003793166127646
0.2,150,100,-20,52037,163.0,3840801.0,0,0.003132386571093645,73809.03972173645,23563.196319018403,0.29824306830629255
0.2,150,100,-30,51630,163.0,3779949.0,0,0.0031570792175092,73212.26031377105,23189.87116564417,0.29825788389414193
0.2,150,100,-40,51481,163.0,3759249.0,0,0.003166216662457994,73022.06639342669,23062.877300613498,0.29826336636111117
0.2,150,100,-50,51396,163.0,3747772.0,0,0.0031714530313643086,72919.526811425,22992.46625766871,0.298266508182455
0.2,150,150,-10,54443,168.0,4285283.0,0,0.0030857961537755084,78711.3678526165,25507.636904761905,0.30730602314681077
0.2,150,150,-20,53012,166.0,4050220.0,0,0.0031313664830604393,76401.94672904248,24398.9156626506,0.30369700170801806
0.2,150,150,-30,52423,166.0,3956631.0,0,0.0031665490338210326,75475.09680865268,23835.126506024095,0.3037181112384744
0.2,150,150,-40,52151,166.0,3915357.0,0,0.0031830645625203734,75077.31395371133,23586.48795180723,0.30372802055569403
0.2,150,150,-50,52007,166.0,3893694.0,0,0.0031918780164208664,74868.6522968062,23455.98795180723,0.3037333086280343
0.2,150,200,-10,55350,168.0,4479947.0,0,0.003035230352303523,80938.51851851851,26666.35119047619,0.3072756836659276
0.2,150,200,-20,53627,166.0,4177344.0,0,0.0030954556473418242,77896.28358849087,25164.722891566264,0.3036754552065869
0.2,150,200,-30,52816,166.0,4041088.0,0,0.00314298697364435,76512.57194789457,24343.90361445783,0.3037039740023684
0.2,150,200,-40,52440,166.0,3979274.0,0,0.0031655225019069414,75882.41800152556,23971.530120481926,0.30371749531932596
0.2,150,200,-50,52256,166.0,3949331.0,0,0.0031766687078995715,75576.60364360074,23791.150602409638,0.30372418304292154
0.2,150,250,-10,56084,170.0,4639139.0,0,0.003031167534412667,82717.69132016262,27289.05294117647,0.31090960961155667
0.2,150,250,-20,54086,166.0,4270722.0,0,0.003069186111008394,78961.69064083126,25727.24096385542,0.30365969348478683
0.2,150,250,-30,53102,166.0,4100416.0,0,0.003126059282136266,77217.73191216904,24701.301204819276,0.3036938173874636
0.2,150,250,-40,52623,166.0,4017735.0,0,0.003154514185812287,76349.40995382248,24203.222891566264,0.3037108903296692
0.2,150,250,-50,52397,166.0,3979593.0,0,0.0031681203122316164,75950.77962478768,23973.451807228917,0.3037190540055208
0.2,200,50,-10,55651,167.0,4505021.0,0,0.003000844549064707,80951.30366031158,26976.17365269461,0.30543687036580247
0.2,200,50,-20,55391,166.0,4451559.0,0,0.0029968767489303317,80366.10640717807,26816.62048192771,0.30361630786754
0.2,200,50,-30,55212,166.0,4415741.0,0,0.003006592769687749,79977.92146634789,26600.849397590362,0.30362213747999445
0.2,200,50,-40,55148,166.0,4403049.0,0,0.003010081961267861,79840.59258721984,26524.39156626506,0.3036242309949425
0.2,200,50,-50,55113,166.0,4396103.0,0,0.0030119935405439734,79765.26409377098,26482.548192771083,0.3036253779425082
0.2,200,100,-10,56682,170.0,4745859.0,0,0.0029991884548886774,83727.79718429131,27916.817647058822,0.3108904221638423
0.2,200,100,-20,56116,170.0,4626908.0,0,0.003029439019174567,82452.56254900563,27217.105882352942,0.3109085725024138
0.2,200,100,-30,55850,169.0,4572259.0,0,0.003025962399283796,81866.76812891674,27054.78698224852,0.3090883047122976
0.2,200,100,-40,55715,169.0,4545762.0,0,0.0030332944449430136,81589.55398007718,26898.0,0.3090927039396931
0.2,200,100,-50,55639,169.0,4530614.0,0,0.0030374377684717555,81428.74602347273,26808.366863905325,0.30909518993381035
0.2,200,150,-10,57304,170.0,4897819.0,0,0.002966634091860952,85470.80483037833,28810.7,0.31087088954602565
0.2,200,150,-20,56518,170.0,4724430.0,0,0.003007891291270038,83591.59913655826,27790.764705882353,0.3108956438656711
0.2,200,150,-30,56141,169.0,4644001.0,0,0.003010277693664167,82720.31135889991,27479.295857988167,0.3090788938889258
0.2,200,150,-40,55925,169.0,4598451.0,0,0.003021904336164506,82225.3196244971,27209.76923076923,0.309085869874426
0.2,200,150,-50,55824,169.0,4577146.0,0,0.003027371739753511,81992.44052737174,27083.704142011833,0.3090891503165794
0.2,200,200,-10,57737,170.0,5006065.0,0,0.002944385749172974,86704.62614960944,29447.441176470587,0.31085754054041287
0.2,200,200,-20,56735,170.0,4776654.0,0,0.0029963867101436502,84192.36802679123,28097.964705882354,0.31088874111699527
0.2,200,200,-30,56290,169.0,4679418.0,0,0.003002309468822171,83130.53828388701,27688.863905325445,0.3090741129540206
0.2,200,200,-40,56055,169.0,4629054.0,0,0.0030148960842030148,82580.57265185978,27390.852071005917,0.3090816649232491
0.2,200,200,-50,55905,169.0,4596589.0,0,0.0030229854216975226,82221.42921026742,27198.751479289942,0.3090865185257458
0.2,200,250,-10,58031,171.0,5081072.0,0,0.002946700901242439,87557.89147179955,29713.871345029238,0.3126771114498364
0.2,200,250,-20,56927,170.0,4822623.0,0,0.00298628067525076,84715.91687599909,28368.370588235295,0.3108826774960595
0.2,200,250,-30,56406,170.0,4706650.0,0,0.0030138637733574444,83442.36428748714,27686.176470588234,0.31089922735492354
0.2,200,250,-40,56128,169.0,4645985.0,0,0.0030109749144811857,82774.81827251996,27491.03550295858,0.30907931222141605
0.2,200,250,-50,55963,169.0,4610400.0,0,0.00301985240248021,82383.00305559029,27280.473372781064,0.30908463871421543
0.2,250,50,-10,58062,172.0,5079647.0,0,0.002962350590747821,87486.60053046743,29532.831395348836,0.3145046830817214
0.2,250,50,-20,57934,170.0,5047235.0,0,0.0029343735975420307,87120.43014464735,29689.617647058825,0.3108515332494343
0.2,250,50,-30,57870,170.0,5031483.0,0,0.0029376188007603247,86944.5826853292,29596.95882352941,0.3108534803713653
0.2,250,50,-40,57836,170.0,5022913.0,0,0.0029393457362196554,86847.51711736635,29546.54705882353,0.3108545165326409
0.2,250,50,-50,57822,170.0,5019571.0,0,0.00294005741759192,86810.74677458407,29526.88823529412,0.31085494354146426
0.2,250,100,-10,58431,172.0,5181621.0,0,0.0029436429292669986,88679.31406274067,30125.70348837209,0.31449345848483296
0.2,250,100,-20,58165,171.0,5110833.0,0,0.0029399123184045387,87867.84148542938,29887.912280701756,0.31267303830013365
0.2,250,100,-30,58023,170.0,5073897.0,0,0.0029298726367130274,87446.305775296,29846.45294117647,0.3108488326729369
0.2,250,100,-40,57965,170.0,5058823.0,0,0.0029328042784438884,87273.75140170792,29757.782352941176,0.3108505916579754
0.2,250,100,-50,57929,170.0,5049488.0,0,0.0029346268708246304,87166.84216886188,29702.870588235295,0.31085168521340384
0.2,250,150,-10,58640,172.0,5240069.0,0,0.002933151432469304,89359.97612551159,30465.517441860466,0.3144871635867543
0.2,250,150,-20,58274,172.0,5140719.0,0,0.0029515736005765866,88216.34004873528,29887.9011627907,0.3144982168876187
0.2,250,150,-30,58097,170.0,5093974.0,0,0.002926140764583369,87680.49985369296,29964.55294117647,0.3108465935496591
0.2,250,150,-40,58010,170.0,5071029.0,0,0.002930529219100155,87416.46267884847,29829.582352941175,0.3108492266223692
0.2,250,150,-50,57963,170.0,5058685.0,0,0.0029329054741818058,87274.38193330228,29756.970588235294,0.31085065237541815
0.2,250,200,-10,58775,172.0,5278330.0,0,0.0029264142917907274,89805.69970225437,30687.96511627907,0.3144831213023472
0.2,250,200,-20,58346,172.0,5160346.0,0,0.0029479313063449078,88443.86933123093,30002.011627906977,0.3144960315110797
0.2,250,200,-30,58150,170.0,5108443.0,0,0.0029234737747205505,87849.40670679278,30049.664705882355,0.3108449933557414
0.2,250,200,-40,58047,170.0,5081127.0,0,0.0029286612572570502,87534.7046358985,29888.982352941177,0.3108481058452633
0.2,250,200,-50,57990,170.0,5066025.0,0,0.0029315399206759785,87360.32074495603,29800.147058823528,0.31084983304331465
0.2,250,250,-10,58887,173.0,5310396.0,0,0.0029378300813422318,90179.42839675989,30695.93063583815,0.31630815259425993
0.2,250,250,-20,58408,172.0,5177316.0,0,0.002944802081906588,88640.52869469936,30100.674418604653,0.31449415397641667
