click,weekday,hour,bidid,logtype,userid,useragent,IP,region,city,adexchange,domain,url,urlid,slotid,slotwidth,slotheight,slotvisibility,slotformat,slotprice,creative,bidprice,payprice,keypage,advertiser,usertag
0,3,12,bad96e5abbb3edaa07e799147984d052,1,u_VhkxVxf9OTmUQfB,windows_ie,223.241.13.*,106,108,3,ersbQv1RdoTy1m58uG,56c82a81e8ecc51da2cc93b281eb4adf,null,ALLINONE_F_Width2,1000,90,0,0,50,c46090c887c257b61ab1fa11baee91d8,241,55,0f951a030abdaedd733ee8d114ce2944,3427,10063
1,6,7,a373965aa5613d6f8faecb4ebb48d50b,1,u_VhdTOe5PO8zW3sn,windows_chrome,27.152.193.*,124,129,2,trqRTvprXZls1m58uG,9e98626486fdeed36abdcf5122d9bf38,null,4176417432,728,90,1,0,5,b90c12ed2bd7950c6027bf9c6937c48a,300,96,361e128affece850342293213691a043,3386,"13776,13800,10024"
0,5,0,8fa00639ef7b95b263868e7a93ce81a7,1,u_D1ALUC1ocq6,windows_firefox,113.116.61.*,216,219,3,7ed515fe566938ee6cfbb6ebb7ea4995,8d5eb25dd102b5063eb60368d26be970,null,Sports_F_Rectangle,300,250,Na,Na,50,7323,294,50,null,2259,"10048,14273,10083,13042,11423,10110,13776,13403,10063,10133,10116,10057,11724,10059,10684,10079,10076,10077,10075,10093,10074,10006,10148,10031,10052,10125"
1,0,7,1711992a95af8ff837ec8e4aadc5f709,1,u_VhkEO3LyPUFLXZa,windows_ie,112.92.74.*,216,220,3,3FF-e59aG5syJqKbuKz,bf167a8d5423bdbf29614bae99e3fd64,null,Finance_F_Rectangle,300,250,0,0,50,e1af08818a6cd6bbba118bb54a651961,254,150,a5d0bde104fea52ea466c77b37948424,3476,"13403,10076,10006,10063,10075,10110"
0,1,15,c73e82f75453032c1584cfdd34ec5317,1,u_VhkxPa52PQTVGQk,windows_chrome,218.206.193.*,164,165,2,trqRTuxcgZNm1m58uG,a87accea7f5bd0b21ce9bfc7031641fb,null,2394186066,250,250,1,0,5,2abc9eaf57d17a96195af3f63c45dc72,300,213,bebefa5efe83beee17a3d245e7c5085b,1458,null
0,3,2,83c91f70abc242e7e0a9a5a26a80b26a,1,u_Vhky1AayOtm2JCn,windows_ie,125.83.231.*,275,275,2,tKFXe19-gINEJ9KbuKz,53faa0104b7e4a55b594bc54261dada1,null,3848732391,160,600,2,0,5,cb7c76e7784031272e37af8e7e9b062c,300,40,bebefa5efe83beee17a3d245e7c5085b,1458,13776
0,0,20,7cb7f6e838bdd770cb66c104f2ed2641,1,u_D8CLGG5pyb5,windows_ie,110.242.73.*,3,9,4,32ea757af1fb3a299baf03a053c136a5,6e36022228c1d42f653501b64822247e,null,9223372032561052460,300,250,SecondView,Na,0,10722,294,238,null,2821,"16751,11278,14273,10083,13776,10110,10138,13403,10063,10133,10116,13800,13678,10059,10684,10076,10075,10093,13866,10024,10006,10031,16706,10147,10052,10126"
0,2,12,d2b0a79b90930cb9314a6f86d397467d,1,u_VhkyC3sELHmZFQL,windows_ie,182.85.146.*,134,135,2,trqRTJz7P9T4wTKbuKz,d4418d76909c39cf45cbdc0dd7dfeea7,null,1177390788,728,90,1,0,5,b90c12ed2bd7950c6027bf9c6937c48a,300,60,361e128affece850342293213691a043,3386,"10006,13800,10024"
0,2,20,ce9a6a293e3c592ed3fecde999f7c8f6,1,u_VhkyLRlIDtcW3Bl,windows_chrome,221.1.97.*,146,153,2,e1Fgqu9JMxscFsf,53ac1f63573306814a823aee1aade1a8,null,4289188498,300,250,1,0,5,449a22cd91d9042eda3d3a1b89a22ea8,238,148,0f951a030abdaedd733ee8d114ce2944,3427,null
0,5,9,a8c054432544541c225b240361b1831e,1,u_DA6MUW2yt5X,windows_chrome,123.245.99.*,40,41,1,9f7914457bb1be2b38ab600b95de7351,17b660e5695e5ce19d313f5303e2b31a,null,mm_10841528_872075_9014410,300,100,Na,Na,0,12621,294,109,null,2261,"10083,10006,11423,10110,10131,13403,10063"
