click,weekday,hour,bidid,logtype,userid,useragent,IP,region,city,adexchange,domain,url,urlid,slotid,slotwidth,slotheight,slotvisibility,slotformat,slotprice,creative,bidprice,payprice,keypage,advertiser,usertag
1,5,7,929ed1506b68ecf697177b70f128f9e4,1,u_Vh5zVrkyLlTHXol,windows_ie,119.164.159.*,146,147,2,trqRTudvg9uYXhMouScWvpdh,bb12274f1b5ece53f5af0cfe4126a3f6,null,277316947,728,90,1,0,5,b90c12ed2bd7950c6027bf9c6937c48a,300,113,361e128affece850342293213691a043,3386,null
0,3,14,27f97327a751b492b34fe99cc41ee054,1,u_Vh5hPD5POt8sFg2,windows_chrome,222.241.79.*,201,210,2,trqRTuMvjTN7X9KbuKz,2bb975c504a38bf315dd9ccb3885a1ce,null,3195670606,728,90,0,0,59,48f2e9ba15708c0146bda5e1dd653caa,300,59,bebefa5efe83beee17a3d245e7c5085b,1458,null
0,4,15,bd4d158a523856e81245daad7275362a,1,u_Vh5_Pu28P85TtIB,windows_chrome,113.82.180.*,216,229,1,eA1XTupSMZq81YT9UDaWvpdh,8bb65e4722e3d10bcb59ccba682b1ff1,null,mm_15191080_2147689_9068851,300,250,0,1,0,44966cc8da1ed40c95d59e863c8c75f0,300,192,361e128affece850342293213691a043,3386,null
0,5,3,cf1ea5cb87cea3366e4aef73fdbabd5e,1,u_DAJ0658qzNl,windows_ie,125.89.131.*,216,230,2,fdae6842bdadadac7e1acebac6ca9fd9,89923cbc266c26d3e1f98bdfad1a4a65,null,652625647,250,250,OtherView,Na,5,7321,277,5,null,2259,null
0,1,0,12f28b936614d615e8aba71b80eabac2,1,u_Z0KLCnKCP4NUwWC,windows_chrome,222.33.2.*,40,41,2,erj-VDj0Q9Kr,f7076e695532cafe5f330d0d690ced66,null,1402329189,200,200,0,0,4,82f125e356439d73902ae85e2be96777,300,98,361e128affece850342293213691a043,3386,null
0,2,19,276c3fe3720711cc1a3ad437be8f0ef0,1,u_DANIb5AVxIN,android_safari,14.18.203.*,216,216,null,null,null,null,1,320,50,FirstView,Na,6,11908,277,6,null,2997,null
0,5,7,7f5d999cf724030d750225cb2e33e396,1,u_Vh5zVrkxPqL9kGa,windows_ie,120.37.120.*,124,129,2,trqRTuMvjTN7X9KbuKz,ff108bbc0043ba7ad2fcad7800a5a830,null,2747615306,300,250,0,0,67,44966cc8da1ed40c95d59e863c8c75f0,300,67,361e128affece850342293213691a043,3386,null
0,2,18,0e2072907f31970cd6084af43d2dbf98,1,u_D9TGh37Uv_F,android_safari,218.74.44.*,94,95,null,null,null,null,1,320,50,FirstView,Na,6,11908,277,119,null,2997,null
0,2,14,32b6b755bad3c0a797e5150559391e3d,1,u_DANCmwA_xHK,windows_ie,42.239.105.*,164,164,1,20fc675468712705dbf5d3eda94126da,53b69fb6c1ff5bfd9dc6ebb551791a89,null,mm_10982364_973726_8930541,300,250,FourthView,Na,0,10722,294,14,null,2821,null
1,6,18,3f01362d14e975b1807d9daaa9e7434b,1,u_Vh161aC9OTEhuoL,windows_ie,61.159.160.*,298,307,2,trqRTuMvjTN7X9KbuKz,5686e46a9fb40271c89ea6dfea5c3364,null,2536830969,728,90,0,0,162,b90c12ed2bd7950c6027bf9c6937c48a,300,162,361e128affece850342293213691a043,3386,null
0,3,16,debebb08097e3c43bde6ebbf58247240,1,u_DAOE0P2ey_s,android_safari,117.136.24.*,201,202,null,null,null,null,1,320,50,FirstView,Na,84,11908,277,131,null,2997,null
0,5,1,12e7397374f2a5b077aca20653713641,1,u_Vh5zZ3axDeT6wsC,windows_ie,116.255.224.*,164,165,1,trqRTudNB9qo1m58uG,ee6cf38b2a77eed4f0c512066d197726,null,mm_10027053_3416880_11042070,728,90,255,1,0,80446133fda50388678789e3ebd9fdb1,227,67,d29e59bf0f7f8243858b8183f14d4412,3358,null
0,0,15,e28105a5d4b2fe8b2226bde709412aa9,1,u_DALF1N4ly1I,windows_ie,183.23.138.*,216,233,2,14dc136ac58642cc72ef214da5d7e7fe,399cba4e8e8bc1441f4f6280f116ce43,null,3506047752,300,250,FirstView,Na,5,7323,277,50,null,2259,null
