click,weekday,hour,bidid,logtype,userid,useragent,IP,region,city,adexchange,domain,url,urlid,slotid,slotwidth,slotheight,slotvisibility,slotformat,slotprice,creative,bidprice,payprice,keypage,advertiser,usertag
0,5,23,004a9e8ea3694a80382a7acf7634663b,1,u_VhKKODuCO4csDbc,windows_ie,121.57.53.*,27,29,1,6OkxTuuxOeBs1m58uG,65d4d5a3c92d9e7cccd83cb623cf436f,null,mm_12761813_1803788_9079497,300,250,2,1,0,449a22cd91d9042eda3d3a1b89a22ea8,227,23,0f951a030abdaedd733ee8d114ce2944,3427,null
0,5,10,004c3b3456f3d5ce91a7f34d096bd81a,1,u_VhkRPeTnP8qcemf,windows_ie,125.117.46.*,94,101,3,31xSTvprdN1RFt,6d7880277909f2cf7cf2d34113b78e70,null,Ent_F_Width1,1000,90,0,0,70,832b91d59d0cb5731431653204a76c0e,300,70,bebefa5efe83beee17a3d245e7c5085b,1458,"13,042,100,521,427,300,000,000,000,000,000,000"
0,4,19,005298568531028096fb46bd37f51ab1,1,u_VhkRLr1G3eNTjBl,windows_theworld,113.194.4.*,134,135,3,5F1RQS9rg5scFsf,39e14b867c3c03217a6f13a4f434c189,null,News_F_Width1,1000,90,0,0,80,86c2543527c86a893d4d4f68810a0416,300,80,43f4a37f42a7c5e6219e2601b26c6976,3386,"10,063,134,031,000,600,000"
1,0,15,006374f8abddb5dba9a0034021ad964d,1,u_VhCSZiMaLQTU3Vz,windows_ie,175.174.84.*,40,44,3,5F1RQS9rg5scFsf,959658c8b982367536b7fff37b492b93,null,News_F_Rectangle,300,250,0,0,80,44966cc8da1ed40c95d59e863c8c75f0,300,80,43f4a37f42a7c5e6219e2601b26c6976,3386,"1,006,310,024,134,030,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
0,3,21,00e30ec61306cc862fc7f6937ed202a4,1,u_Vh5h1AKnL2KsFfL,windows_other,221.7.192.*,238,239,2,trqRTumJMo1YFma4JKTI,42ea98d38f072abcaeade77c05eaad2d,null,4055269641,728,90,1,0,5,48f2e9ba15708c0146bda5e1dd653caa,300,56,bebefa5efe83beee17a3d245e7c5085b,1458,13866
1,0,20,00edcf0c2a56e6db03fda57c995a4af9,1,u_VhkRLrF6LlB4ema,windows_ie,27.226.230.*,344,344,1,5197l55wMIa7gmd8wSFWUKT_-oa,152707bdf9c6dde8c619fc0a98a739ee,null,mm_13087935_2078460_8374314,300,250,1,1,0,44966cc8da1ed40c95d59e863c8c75f0,300,201,361e128affece850342293213691a043,3386,10075
1,0,23,0157781c6008d1303a57bc110f9f94a6,1,u_VhkrOyqo3QF_loc,windows_ie,106.109.2.*,216,216,2,trqRTuNRjqS81m58uG,9e00015a77163540280109721113648b,null,3912949065,336,280,1,0,5,77819d3e0b3467fe5c7b16d68ad923a1,300,45,bebefa5efe83beee17a3d245e7c5085b,1458,"100,241,377,613,678,000,000,000,000,000"
0,4,17,0160816643fc5bad1b3151b005f1e6dd,1,u_VhkRO5uPOtdvaBb,windows_chrome,27.13.204.*,275,275,3,5F1RQS9rg5scFsf,3f654da92b65e7cab39c2a3da9d1bf7,null,ALLINONE_F_Width1,1000,90,0,0,70,0cd33fcb336655841d3e1441b915748d,254,73,c8758e8658b05bc3a88af7b37bdf0575,3476,"100,311,006,313,042,000,000,000,000,000"
0,1,0,016087721c8261a4d259752047a3993f,1,u_DACLTK7Nxm5,windows_chrome,120.234.109.*,1,1,4,48f04906e74d740674bf22f6aa2bed6f,14b6f032dbf37c4358cb082f64e9a720,null,9.22337E+18,300,250,SecondView,Na,30,10722,294,42,null,2821,"1,000,611,092"
1,6,16,0174f72ef6702101c8568ff0b11441d4,1,u_Vhd11p1HDoqCXC2,windows_ie,182.128.175.*,276,282,3,5F1RQS9rg5scFsf,22e0ea32b06e5312df8c7dd3fd5cb86b,null,News_F_Width1,1000,90,0,0,80,d01411218cc79bc49d2a4078c4093b76,241,88,b2e35064f3549d447edbbdfb1f707c8c,3427,"1,000,610,111"
