click,weekday,hour,bidid,logtype,userid,useragent,IP,region,city,adexchange,domain,url,urlid,slotid,slotwidth,slotheight,slotvisibility,slotformat,slotprice,creative,bidprice,payprice,keypage,advertiser,usertag
0,1,9,bf8450d81efc24f1f3c7a3b1ed9871a1,1,u_Vh1pP5uk3TE9GgB,windows_ie,58.252.14.*,216,233,1,trqRTuxJMT27gspy,653ea05c4187d66688f999c0934d2e9e,null,mm_10032134_3463115_11268126,300,250,1,1,0,44966cc8da1ed40c95d59e863c8c75f0,300,130,361e128affece850342293213691a043,3386,"10048,10057,14273,10083,10031,10006,13403,10063,10024,10110"
0,2,22,3e457a4421cb26b2743036f5f2430f25,1,u_VhpOLu9y3QjIq-f,windows_ie,112.249.102.*,146,152,3,3FKElpuEMusyJqKbuKz,397f6f1aebf28e346e9f102cab42cafd,null,Fashion_F_Width1,1000,90,0,0,20,832b91d59d0cb5731431653204a76c0e,300,50,bebefa5efe83beee17a3d245e7c5085b,1458,"10075,10063,13403,10006,10083,10059,10110"
0,5,16,a11ae7cb5cd951cbcbef9b67a5f94621,1,u_D5SAuP6b6yK,windows_ie,122.241.57.*,94,105,3,3c47edf60cc139641b6395e123a6e155,28524aa3dbdd11686769141fc4198916,null,Auto_F_Width1,1000,90,Na,Na,50,12633,294,50,null,2261,10083
0,0,15,99aec498d7183bef1d33c57cb0430582,1,u_VhkRPwdPPokWtbE,windows_safari,123.184.233.*,40,41,3,3SCYZrn0Qo18XMB4JKTI,3a0f55b8ee76da7f0933eec8cdafad72,null,discuz_18316225_004,728,90,0,0,20,b90c12ed2bd7950c6027bf9c6937c48a,300,20,43f4a37f42a7c5e6219e2601b26c6976,3386,null
0,1,13,43ee16bfb73cc330ab87fec412664d87,1,u_DA4GGL4yG3q,windows_chrome,27.47.156.*,216,217,2,335b3a64c7c2678e73888146e12d4e62,e6b54c56893be3e699c29a4bcc17e3af,null,3175797632,120,600,OtherView,Na,180,10723,277,180,null,2821,"10059,10006,10063"
1,1,13,0201ef8e778ac70c3fdaac51164ea881,1,u_VhT2PxSLPcMO3-b,windows_chrome,1.188.81.*,65,65,3,DD1SqS9rg5scFsf,673a87b886f0bc8e82a05338075b3a57,null,ALLINONE_F_Width1,1000,90,0,0,70,832b91d59d0cb5731431653204a76c0e,300,70,bebefa5efe83beee17a3d245e7c5085b,1458,"10083,10024,11278,10077,10006,10052,10075,13866,10063,10031,10057,10111"
0,3,17,a29a9e8d72a0eda4d38328208129ecd5,1,u_Vh5hLAL8D8mTFWB,windows_ie,114.221.153.*,80,81,1,tS1vtup0GxsNaYuzUspENpn,278d9fe17678fe103428a895c0257ce4,null,mm_31698573_3051380_11414898,950,90,0,1,0,fa8f0532dd5144b5fa748459e8d90b49,227,93,0f951a030abdaedd733ee8d114ce2944,3427,"10063,10083,10110"
0,1,4,89c5c55376f89e024229ecba474bbd02,1,u_D7PL8eDRz~T,windows_ie,42.197.193.*,216,217,1,20fc675468712705dbf5d3eda94126da,4c92d0dd71874034325022672e45438d,null,mm_10982364_973726_8930541,300,250,FourthView,Na,0,7323,294,41,null,2259,"10059,10077,10006,10031,10111,10115"
0,6,16,00f9bef1a4d2cf810bc256712e8d2c3f,1,u_VhzrORTP3e5HQYl,windows_ie,116.236.201.*,79,79,2,trqRTuN-XIuc1mKYUV,b9b27f86cd5409b505b66e27470765af,null,3464231742,200,200,0,0,16,7eb0065067225fa5f511f7ffb9895f24,238,31,b2e35064f3549d447edbbdfb1f707c8c,3427,"13866,10063,13800,10074,10111"
0,6,1,d2d5e35582c7d229c31aba8b8f59af4c,1,u_DA31UCBLy_4,windows_ie,110.52.208.*,201,202,2,9f29c106b1894764ef88815ff2d43e2a,b9b27f86cd5409b505b66e27470765af,null,4070163948,728,90,OtherView,Na,5,12627,277,12,null,2261,"13866,13776,10111,10063"
0,0,23,a527c15edf91793250c3f2a8cf0099b4,1,u_Vhd6Lv1TPcTZlbb,windows_chrome,110.254.54.*,3,11,3,31xSTvprdN1RFt,e0d1b9ca789d37cc260b6c8486d1c0be,null,Ent_F_Upright,300,250,0,0,50,44966cc8da1ed40c95d59e863c8c75f0,300,50,43f4a37f42a7c5e6219e2601b26c6976,3386,"10059,10063,13403,10031,10083,10006,10110"
0,1,0,9c07c9716fec5665626e778f4ef2928d,1,u_D9B3C31oyVz,windows_chrome,113.108.253.*,216,217,2,9816c01e4673786d420d1e0685138316,b8ef0f1d17ce2cc370a56bb9784a2408,null,2419297439,300,250,Na,Na,39,7323,277,39,null,2259,"10057,10006,10063"
0,5,18,a1c59ff1fde4e615605670a118607f07,1,u_D77KR65Ma1M,windows_ie,183.248.210.*,94,100,1,5f09d43c243efabd9de9b507d922cd2d,899fa2ab9cabec9c3e17833740338149,null,mm_46059718_4254558_14406735,640,90,Na,Na,0,12626,294,81,null,2261,"10684,13042,10110,10123,10031,10063"
