click,weekday,hour,bidid,logtype,userid,useragent,IP,region,city,adexchange,domain,url,urlid,slotid,slotwidth,slotheight,slotvisibility,slotformat,slotprice,creative,bidprice,payprice,keypage,advertiser,usertag
0,1,9,0000553c99d0ed280e7d63fa05aec9df,1,u_20120321205312012191448,windows_chrome,221.199.203.*,27,35,4,6bb7a014f46cede4e87bad75def67c54,f3a87e03c7cf172f029b5768eeb3141d,null,9.22E+18,300,250,SecondView,Na,30,10722,294,31,null,2821,"1,005,713,800,100,590,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
0,0,19,013e1b08c4e74f8dd7be65ba2fe982fc,1,u_CB3D6L50fD3,windows_ie,110.230.148.*,3,9,2,b353d79998f4f534039043ad1929ef1a,8640a3ae82b3b2290c59eea396bf5762,null,574591489,728,90,FirstView,Na,5,10719,277,119,null,2821,"10,057,100,481,380,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
0,1,12,0147f969d88ac84715b0dabeeb57b4c2,1,u_CB61d53seag,windows_chrome,121.8.157.*,216,217,2,9eaa4f259da9767e095dde28eb639216,c2642adde1ec41490f5e3b17a56f3982,null,1095897406,728,90,OtherView,Na,5,7330,277,80,null,2259,"100,481,006,710,059,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1,1,20,01de524d2aae7694989b2a6113204233,1,u_D7N8CQ2Ka4b,windows_ie,223.100.156.*,40,40,1,40d67428dd4f332dd312f2881b21964b,2d5185742732650f53932c9e6b79770d,null,mm_34022157_4042931_13168563,300,250,Na,Na,0,10722,294,136,null,2821,"100,771,000,610,111"
0,4,10,02596995b16b4b74de5fe979ba55ced7,1,u_CB8NFZB3dj~,windows_chrome,58.42.17.*,298,301,1,42f278194a61e1ee446affa86b3ca14c,9766783153c67b36d4c1d9af971637ed,null,mm_13771077_1945499_13660939,200,200,Na,Na,0,12616,294,201,null,2261,"1,005,910,006,101,110,000,000,000"
1,5,22,026680c65752b989067dabc617e526a5,1,u_Vh16LDpCOlpsBVB,windows_ie,124.225.173.*,253,254,3,3FKElpuEMusyJqKbuKz,f006e6c2d3f2684c1f1f83792f57abae,null,ALLINONE_F_Width1,1000,90,0,0,70,c46090c887c257b61ab1fa11baee91d8,241,77,0f951a030abdaedd733ee8d114ce2944,3427,"100,061,304,210,077,000,000,000,000,000"
1,3,18,02b670c98540176d32a2d1accef19320,1,u_DAOI12E2wwE,android_safari,219.82.30.*,94,95,null,null,null,null,1,320,50,FirstView,Na,133,11908,277,239,null,2997,null
0,0,16,02ff38e73d7b0dfbfc95daaff331fd5f,1,u_6gfYZDnSOvny3QLfeOBsGDBAjeE6wt,windows_ie,116.226.44.*,79,79,1,trqRTJl4PyCy1m58uG,2d52db817d6dcc7b39435c456bacaf01,null,mm_18021524_3152351_11046056,300,250,1,1,0,44966cc8da1ed40c95d59e863c8c75f0,300,51,361e128affece850342293213691a043,3386,"1,004,810,052,100,630,000,000,000,000,000,000,000,000"
0,1,12,03272c14ed541ae93eb8e5164778bfdd,1,u_CAOAti1~eYS,windows_chrome,113.57.188.*,183,184,4,c7c579c8fdfc5a23b365a60a1975eeb2,e33856b7a6e096e6833f03d3dfd4fc3c,null,9.22E+18,728,90,FirstView,Na,0,10719,294,103,null,2821,"1,068,413,496,142,730,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
0,6,0,03b33c8eef0b47fa3cd10b99bb63bfc1,1,u_20111005133736036264762,windows_ie,113.72.18.*,216,222,1,20fc675468712705dbf5d3eda94126da,3d7be1dbb0faf14515713944105ef0f3,null,mm_10982364_973726_8930541,300,250,FourthView,Na,0,7323,294,201,null,2259,null
